Column,Type,Size,Fuzzed,XSS,Token
oc_order.shipping_city,varchar,128,True,False,False
oc_order.shipping_postcode,varchar,10,False,False,False
oc_order.shipping_country,varchar,128,True,False,False
oc_order.shipping_zone,varchar,128,True,False,False
oc_order.shipping_address_format,text,,True,False,False
oc_order.shipping_custom_field,text,,True,False,False
oc_order.shipping_method,varchar,128,True,False,False
oc_order.shipping_code,varchar,128,True,False,False
oc_order.comment,text,,True,False,False
oc_order.tracking,varchar,64,True,False,False
oc_order.language_code,varchar,5,False,False,False
oc_order.currency_code,varchar,3,False,False,False
oc_order.ip,varchar,40,True,False,False
oc_order.forwarded_ip,varchar,40,True,False,False
oc_order.user_agent,varchar,255,True,False,False
oc_order.accept_language,varchar,255,True,False,False
oc_order_history.comment,text,,True,False,False
oc_order_option.name,varchar,255,True,False,False
oc_order_option.value,text,,True,False,False
oc_order_option.type,varchar,32,True,False,False
oc_order_product.name,varchar,255,True,False,False
oc_order_product.model,varchar,64,True,False,False
oc_order_status.name,varchar,32,True,False,False
oc_order_total.extension,varchar,255,True,False,False
oc_order_total.code,varchar,32,True,False,False
oc_order_total.title,varchar,255,True,False,False
oc_order_voucher.description,varchar,255,True,False,False
oc_order_voucher.code,varchar,10,False,False,False
oc_order_voucher.from_name,varchar,64,True,False,False
oc_order_voucher.from_email,varchar,96,True,False,False
oc_order_voucher.to_name,varchar,64,True,False,False
oc_order_voucher.to_email,varchar,96,True,False,False
oc_order_voucher.message,text,,True,False,False
oc_product.model,varchar,64,True,False,False
oc_product.sku,varchar,64,True,False,False
oc_product.upc,varchar,12,False,False,False
oc_product.ean,varchar,14,False,False,False
oc_product.jan,varchar,13,False,False,False
oc_product.isbn,varchar,17,False,False,False
oc_product.mpn,varchar,64,True,False,False
oc_product.location,varchar,128,True,False,False
oc_product.variant,text,,True,False,False
oc_product.override,text,,True,False,False
oc_product.image,varchar,255,True,False,False
oc_product_attribute.text,text,,True,False,False
oc_product_description.name,varchar,255,True,True,True
oc_product_description.description,text,,True,False,True
oc_product_description.tag,text,,True,False,False
oc_product_description.meta_title,varchar,255,True,False,False
oc_product_description.meta_description,varchar,255,True,False,False
oc_product_description.meta_keyword,varchar,255,True,False,False
oc_product_image.image,varchar,255,True,False,False
oc_product_option.value,text,,True,False,False
oc_product_option_value.price_prefix,varchar,1,False,False,False
oc_product_option_value.points_prefix,varchar,1,False,False,False
oc_product_option_value.weight_prefix,varchar,1,False,False,False
oc_product_report.ip,varchar,40,True,False,False
oc_product_report.country,varchar,2,False,False,False
oc_return.firstname,varchar,32,True,False,False
oc_return.lastname,varchar,32,True,False,False
oc_return.email,varchar,96,True,False,False
oc_return.telephone,varchar,32,True,False,False
oc_return.product,varchar,255,True,False,False
oc_return.model,varchar,64,True,False,False
oc_return.comment,text,,True,False,False
oc_return_action.name,varchar,64,True,False,False
oc_return_history.comment,text,,True,False,False
oc_return_reason.name,varchar,128,True,False,False
oc_return_status.name,varchar,32,True,False,False
oc_review.author,varchar,64,True,False,False
oc_review.text,text,,True,False,False
oc_seo_url.key,varchar,64,True,False,False
oc_seo_url.value,varchar,255,True,False,False
oc_seo_url.keyword,varchar,255,True,False,False
oc_session.session_id,varchar,32,True,False,True
oc_session.data,text,,True,False,False
oc_setting.code,varchar,128,True,False,False
oc_setting.key,varchar,128,True,False,False
oc_setting.value,text,,True,True,True
oc_startup.code,varchar,64,True,False,False
oc_startup.action,text,,True,False,False
oc_statistics.code,varchar,64,True,False,False
oc_stock_status.name,varchar,32,True,False,False
oc_store.name,varchar,64,True,False,False
oc_store.url,varchar,255,True,False,False
oc_subscription.name,varchar,255,True,False,False
oc_subscription.description,text,,True,False,False
oc_subscription.reference,varchar,255,True,False,False
oc_subscription_history.comment,text,,True,False,False
oc_subscription_plan_description.name,varchar,255,True,False,False
oc_subscription_plan_description.description,text,,True,False,False
oc_subscription_status.name,varchar,32,True,False,False
oc_subscription_transaction.transaction_id,varchar,255,True,False,False
oc_subscription_transaction.description,text,,True,False,False
oc_subscription_transaction.payment_method,varchar,128,True,False,False
oc_subscription_transaction.payment_code,varchar,128,True,False,False
oc_tax_class.title,varchar,32,True,False,False
oc_tax_class.description,varchar,255,True,False,False
oc_tax_rate.name,varchar,32,True,False,False
oc_tax_rate.type,char,1,False,False,False
oc_tax_rule.based,varchar,10,False,False,False
oc_theme.route,varchar,64,True,False,False
oc_theme.code,mediumtext,,True,False,False
oc_translation.route,varchar,64,True,False,False
oc_translation.key,varchar,64,True,False,False
oc_translation.value,text,,True,False,False
oc_upload.name,varchar,255,True,False,False
oc_upload.filename,varchar,255,True,False,False
oc_upload.code,varchar,255,True,False,False
oc_user.username,varchar,20,False,False,False
oc_user.password,varchar,255,True,False,False
oc_user.firstname,varchar,32,True,False,False
oc_user.lastname,varchar,32,True,False,False
oc_user.email,varchar,96,True,False,False
oc_user.image,varchar,255,True,False,False
oc_user.code,varchar,40,True,False,False
oc_user.ip,varchar,40,True,False,False
oc_user_group.name,varchar,64,True,False,False
oc_user_group.permission,text,,True,False,False
oc_user_login.token,varchar,96,True,False,False
oc_user_login.ip,varchar,40,True,False,False
oc_user_login.user_agent,varchar,255,True,False,False
oc_vendor.name,varchar,64,True,False,False
oc_vendor.code,text,,True,False,False
oc_vendor.version,text,,True,False,False
oc_voucher.code,varchar,10,False,False,False
oc_voucher.from_name,varchar,64,True,False,False
oc_voucher.from_email,varchar,96,True,False,False
oc_voucher.to_name,varchar,64,True,False,False
oc_voucher.to_email,varchar,96,True,False,False
oc_voucher.message,text,,True,False,False
oc_voucher_theme.image,varchar,255,True,False,False
oc_voucher_theme_description.name,varchar,32,True,False,False
oc_weight_class_description.title,varchar,32,True,False,False
oc_weight_class_description.unit,varchar,4,False,False,False
oc_zone.name,varchar,128,True,False,True
oc_zone.code,varchar,32,True,False,True
