Column,Type,Size,Fuzzed,XSS,Token
members_subscribe_events.member_id,varchar,24,False,False,False
members_subscribe_events.source,varchar,50,True,False,False
members_subscribe_events.newsletter_id,varchar,24,False,False,False
members_subscription_created_events.id,varchar,24,False,False,False
members_subscription_created_events.member_id,varchar,24,False,False,False
members_subscription_created_events.subscription_id,varchar,24,False,False,False
members_subscription_created_events.attribution_id,varchar,24,False,False,False
members_subscription_created_events.attribution_type,varchar,50,True,False,False
members_subscription_created_events.attribution_url,varchar,2000,True,False,False
members_subscription_created_events.referrer_source,varchar,191,True,False,False
members_subscription_created_events.referrer_medium,varchar,191,True,False,False
members_subscription_created_events.referrer_url,varchar,2000,True,False,False
members_subscription_created_events.batch_id,varchar,24,False,False,False
mentions.id,varchar,24,False,False,False
mentions.source,varchar,2000,True,False,False
mentions.source_title,varchar,2000,True,False,False
mentions.source_site_title,varchar,2000,True,False,False
mentions.source_excerpt,varchar,2000,True,False,False
mentions.source_author,varchar,2000,True,False,False
mentions.source_featured_image,varchar,2000,True,False,False
mentions.source_favicon,varchar,2000,True,False,False
mentions.target,varchar,2000,True,False,False
mentions.resource_id,varchar,24,False,False,False
mentions.resource_type,varchar,50,True,False,False
migrations.name,varchar,120,True,False,False
migrations.version,varchar,70,True,False,False
migrations.currentVersion,varchar,255,True,False,False
migrations_lock.lock_key,varchar,191,True,False,False
milestones.id,varchar,24,False,False,False
milestones.type,varchar,24,False,False,False
milestones.currency,varchar,24,False,False,False
mobiledoc_revisions.id,varchar,24,False,False,False
mobiledoc_revisions.post_id,varchar,24,False,False,False
newsletters.id,varchar,24,False,False,False
newsletters.uuid,varchar,36,True,False,False
newsletters.name,varchar,191,True,False,True
newsletters.description,varchar,2000,True,False,True
newsletters.slug,varchar,191,True,False,False
newsletters.sender_name,varchar,191,True,False,False
newsletters.sender_email,varchar,191,True,False,False
newsletters.sender_reply_to,varchar,191,True,False,False
newsletters.status,varchar,50,True,False,False
newsletters.visibility,varchar,50,True,False,False
newsletters.header_image,varchar,2000,True,False,False
newsletters.title_font_category,varchar,191,True,False,False
newsletters.title_alignment,varchar,191,True,False,False
newsletters.body_font_category,varchar,191,True,False,False
newsletters.background_color,varchar,50,True,False,False
newsletters.border_color,varchar,50,True,False,False
newsletters.title_color,varchar,50,True,False,False
offer_redemptions.id,varchar,24,False,False,False
offer_redemptions.offer_id,varchar,24,False,False,False
offer_redemptions.member_id,varchar,24,False,False,False
offer_redemptions.subscription_id,varchar,24,False,False,False
offers.id,varchar,24,False,False,False
offers.name,varchar,191,True,False,False
offers.code,varchar,191,True,False,False
offers.product_id,varchar,24,False,False,False
offers.stripe_coupon_id,varchar,255,True,False,False
offers.interval,varchar,50,True,False,False
offers.currency,varchar,50,True,False,False
offers.discount_type,varchar,50,True,False,False
offers.duration,varchar,50,True,False,False
offers.portal_title,varchar,191,True,False,False
offers.portal_description,varchar,2000,True,False,False
permissions.id,varchar,24,False,False,False
permissions.name,varchar,50,True,False,False
permissions.object_type,varchar,50,True,False,False
permissions.action_type,varchar,50,True,False,False
permissions.object_id,varchar,24,False,False,False
permissions.created_by,varchar,24,False,False,False
permissions.updated_by,varchar,24,False,False,False
permissions_roles.id,varchar,24,False,False,False
permissions_roles.role_id,varchar,24,False,False,False
permissions_roles.permission_id,varchar,24,False,False,False
permissions_users.id,varchar,24,False,False,False
permissions_users.user_id,varchar,24,False,False,False
permissions_users.permission_id,varchar,24,False,False,False
post_revisions.id,varchar,24,False,False,False
post_revisions.post_id,varchar,24,False,False,False
post_revisions.author_id,varchar,24,False,False,False
post_revisions.title,varchar,2000,True,False,False
post_revisions.post_status,varchar,50,True,False,False
post_revisions.reason,varchar,50,True,False,False
post_revisions.feature_image,varchar,2000,True,False,False
post_revisions.feature_image_alt,varchar,191,True,False,False
posts.id,varchar,24,False,False,False
posts.uuid,varchar,36,True,False,False
posts.title,varchar,2000,True,False,True
posts.slug,varchar,191,True,False,False
posts.comment_id,varchar,50,True,False,False
posts.feature_image,varchar,2000,True,False,True
posts.type,varchar,50,True,False,False
posts.status,varchar,50,True,False,False
posts.locale,varchar,6,False,False,False
posts.visibility,varchar,50,True,False,False
posts.email_recipient_filter,text,,True,False,False
posts.created_by,varchar,24,False,False,False
posts.updated_by,varchar,24,False,False,False
posts.published_by,varchar,24,False,False,False
posts.custom_excerpt,varchar,2000,True,False,True
posts.custom_template,varchar,100,True,False,False
posts.newsletter_id,varchar,24,False,False,False
posts_authors.id,varchar,24,False,False,False
posts_authors.post_id,varchar,24,False,False,False
posts_authors.author_id,varchar,24,False,False,False
posts_meta.id,varchar,24,False,False,False
posts_meta.post_id,varchar,24,False,False,False
posts_meta.og_image,varchar,2000,True,False,False
posts_meta.og_title,varchar,300,True,False,False
posts_meta.og_description,varchar,500,True,False,False
posts_meta.twitter_image,varchar,2000,True,False,False
posts_meta.twitter_title,varchar,300,True,False,False
posts_meta.twitter_description,varchar,500,True,False,False
posts_meta.meta_title,varchar,2000,True,False,False
posts_meta.meta_description,varchar,2000,True,False,False
posts_meta.email_subject,varchar,300,True,False,False
posts_meta.feature_image_alt,varchar,191,True,False,False
posts_products.id,varchar,24,False,False,False
posts_products.post_id,varchar,24,False,False,False
posts_products.product_id,varchar,24,False,False,False
posts_tags.id,varchar,24,False,False,False
posts_tags.post_id,varchar,24,False,False,False
posts_tags.tag_id,varchar,24,False,False,False
products.id,varchar,24,False,False,False
products.name,varchar,191,True,False,False
products.slug,varchar,191,True,False,False
products.welcome_page_url,varchar,2000,True,False,False
products.visibility,varchar,50,True,False,False
products.description,varchar,191,True,False,False
products.type,varchar,50,True,False,False
products.currency,varchar,50,True,False,False
products.monthly_price_id,varchar,24,False,False,False
products.yearly_price_id,varchar,24,False,False,False
products_benefits.id,varchar,24,False,False,False
products_benefits.product_id,varchar,24,False,False,False
products_benefits.benefit_id,varchar,24,False,False,False
recommendation_click_events.id,varchar,24,False,False,False
recommendation_click_events.recommendation_id,varchar,24,False,False,False
recommendation_click_events.member_id,varchar,24,False,False,False
recommendation_subscribe_events.id,varchar,24,False,False,False
recommendation_subscribe_events.recommendation_id,varchar,24,False,False,False
recommendation_subscribe_events.member_id,varchar,24,False,False,False
recommendations.id,varchar,24,False,False,False
recommendations.url,varchar,2000,True,False,False
recommendations.title,varchar,2000,True,False,False
recommendations.excerpt,varchar,2000,True,False,False
recommendations.featured_image,varchar,2000,True,False,False
recommendations.favicon,varchar,2000,True,False,False
recommendations.description,varchar,2000,True,False,False
redirects.id,varchar,24,False,False,False
redirects.from,varchar,2000,True,False,False
redirects.to,varchar,2000,True,False,False
redirects.post_id,varchar,24,False,False,False
roles.id,varchar,24,False,False,False
roles.name,varchar,50,True,False,False
roles.description,varchar,2000,True,False,False
roles.created_by,varchar,24,False,False,False
roles.updated_by,varchar,24,False,False,False
roles_users.id,varchar,24,False,False,False
roles_users.role_id,varchar,24,False,False,False
roles_users.user_id,varchar,24,False,False,False
sessions.id,varchar,24,False,False,False
sessions.session_id,varchar,32,True,False,False
sessions.user_id,varchar,24,False,False,False
sessions.session_data,varchar,2000,True,False,False
settings.id,varchar,24,False,False,False
settings.group,varchar,50,True,False,False
settings.key,varchar,50,True,False,False
settings.type,varchar,50,True,False,False
settings.flags,varchar,50,True,False,False
settings.created_by,varchar,24,False,False,False
settings.updated_by,varchar,24,False,False,False
snippets.id,varchar,24,False,False,False
snippets.name,varchar,191,True,False,False
snippets.mobiledoc,longtext,,True,False,False
snippets.created_by,varchar,24,False,False,False
snippets.updated_by,varchar,24,False,False,False
stripe_prices.id,varchar,24,False,False,False
stripe_prices.stripe_price_id,varchar,255,True,False,False
stripe_prices.stripe_product_id,varchar,255,True,False,False
stripe_prices.nickname,varchar,50,True,False,False
stripe_prices.currency,varchar,191,True,False,False
stripe_prices.type,varchar,50,True,False,False
stripe_prices.interval,varchar,50,True,False,False
stripe_prices.description,varchar,191,True,False,False
stripe_products.id,varchar,24,False,False,False
stripe_products.product_id,varchar,24,False,False,False
stripe_products.stripe_product_id,varchar,255,True,False,False
subscriptions.id,varchar,24,False,False,False
subscriptions.type,varchar,50,True,False,False
subscriptions.status,varchar,50,True,False,False
subscriptions.member_id,varchar,24,False,False,False
subscriptions.tier_id,varchar,24,False,False,False
subscriptions.cadence,varchar,50,True,False,False
subscriptions.currency,varchar,50,True,False,False
subscriptions.payment_provider,varchar,50,True,False,False
